OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UMKA 1 (RS40S),2023-091G,2024-10-07T11:54:19.267776,15.09922522,.0017541,97.5979,332.4883,98.1860,262.1359,0,U,57172,999,7042,.13462E-2,.2189E-3,0
CUBESX-HSE 3 (RS42S),2023-091N,2024-10-07T12:26:51.189792,15.12293942,.0017621,97.6009,333.2928,92.4230,267.9018,0,U,57178,999,7046,.16846E-2,.29297E-3,0
MONITOR-4 (RS57S),2023-091S,2024-10-07T11:35:30.828480,15.11556746,.0018237,97.6004,332.9615,93.6896,266.6420,0,U,57182,999,7044,.15235E-2,.25947E-3,0
MONITOR-2 (RS39S),2023-091U,2024-10-07T09:29:47.755968,15.09700946,.0015332,97.6011,332.8047,88.8538,271.4448,0,U,57184,999,7042,.11585E-2,.1869E-3,0
SVYATOBOR 1 (RS60S),2023-091X,2024-10-07T11:28:04.500768,15.12069340,.0014502,97.6013,333.6236,85.6861,274.6026,0,U,57187,999,7048,.14387E-2,.2481E-3,0
VIZARD-METEO (RS38S),2023-091Z,2024-10-07T10:34:17.425344,15.14195125,.0013017,97.5999,334.2409,83.0343,277.2368,0,U,57189,999,7052,.19865E-2,.3642E-3,0
NANOZOND 1 (RS49S),2023-091AA,2024-10-07T09:37:39.015264,15.18503910,.0011144,97.5972,335.2102,86.5650,273.6858,0,U,57190,999,7059,.25588E-2,.53137E-3,0
POLYTECH-UNIVERSE 3 (RS46S),2023-091AB,2024-10-07T11:15:30.289248,15.09708641,.0020578,97.5979,332.5076,103.8737,256.4783,0,U,57191,999,7042,.10985E-2,.17759E-3,0
UTMN 2 (RS27S),2023-091AP,2024-10-07T09:50:27.274560,15.13421300,.0013656,97.6003,333.9710,83.8443,276.4344,0,U,57203,999,7050,.18348E-2,.32902E-3,0
ARCCUBE 1 (RS25S),2023-091AR,2024-10-07T11:07:00.608736,15.20725029,.0010815,97.5930,335.5961,86.8673,273.3799,0,U,57205,999,7063,.27532E-2,.61035E-3,0
KUZGTU 1 (RS47S),2023-091AV,2024-10-07T09:48:25.337376,15.12042420,.0017814,97.5992,332.9810,94.0476,266.2790,0,U,57217,999,7044,.18913E-2,.32688E-3,0
HADES-D (SO-121),2023-174CY,2024-10-06T16:46:36.047712,15.59115192,.0008945,97.4360,358.3754,213.6500,146.4190,0,U,58567,999,5094,.49184E-2,.403554E-2,0
SONATE-2,2024-043Q,2024-10-07T07:32:40.796448,15.23030415,.0013322,97.4907,44.3195,261.6252,98.3474,0,U,59112,999,3284,.1834E-2,.4341E-3,0
MESAT1,2024-125G,2024-10-07T08:36:42.715008,15.23035507,.0023125,97.3078,131.4964,292.6625,67.2167,0,U,60209,999,1446,.17969E-2,.42742E-3,0
OOV-CUBE (TUBSAT-30),2024-128F,2024-10-07T04:22:48.233280,14.97410475,.0018017,61.9980,212.9981,341.1536,18.8883,0,U,60240,999,1337,.11372E-2,.13166E-3,0
